id,salary_in_usd,company_location_id,employee_residence_id,work_setting_id,employment_type_id,job_title_id,job_category_id
1,136086,4,1,1,1,1,1
2,67982,7,2,1,2,2,2
3,153309,5,3,2,1,1,2
4,135242,6,4,2,3,3,2
5,35156,3,3,3,3,2,3
6,68280,4,5,2,3,1,4
7,105324,4,4,1,4,3,3
8,90706,2,3,1,1,4,2
9,171043,4,3,3,2,3,3
10,73408,1,4,1,1,2,4
11,167559,1,1,2,2,3,3
12,50997,3,6,3,2,4,3
13,76456,4,6,3,2,1,1
14,160865,2,2,3,1,2,4
15,107988,5,2,2,3,3,1
16,110908,3,6,3,4,3,4
17,107952,7,1,3,4,3,1
18,114784,2,3,1,3,2,2
19,189266,7,2,1,4,2,2
20,194857,3,1,3,2,3,3
21,88676,1,1,2,4,3,2
22,38373,2,2,2,1,3,2
23,191355,5,6,2,3,2,1
24,124951,2,4,2,3,2,3
25,56414,3,7,1,3,1,4
26,175450,2,6,2,3,1,3
27,147139,2,4,2,1,4,4
28,113872,3,6,3,2,2,4
29,165772,6,3,2,2,1,3
30,174973,4,4,2,2,3,3
31,120374,3,5,2,4,3,3
32,183669,2,7,2,2,3,3
33,194500,5,6,1,4,3,1
34,196759,5,7,3,1,1,1
35,59493,3,1,1,4,4,2
36,155074,2,5,3,2,3,2
37,81224,7,3,3,3,3,1
38,61852,7,1,3,1,3,4
39,40932,1,4,3,2,3,4
40,118545,6,4,1,2,1,2
41,63583,3,2,3,2,3,2
42,59865,3,1,2,1,3,1
43,173361,7,5,2,3,4,4
44,100270,7,1,3,3,4,4
45,115549,7,1,2,3,1,3
46,196593,5,1,2,2,1,3
47,167577,5,7,3,4,2,3
48,160768,1,2,3,2,4,1
49,74327,1,6,3,3,2,2
50,143209,4,3,1,1,3,1
51,144889,5,3,3,4,2,4
52,48409,3,3,3,4,3,2
53,180589,1,7,1,2,2,3
54,74533,2,2,2,1,1,1
55,191547,3,5,1,4,3,1
56,45327,4,2,2,3,3,3
57,85344,7,7,1,2,2,1
58,33671,4,5,3,2,3,3
59,121908,3,1,1,3,3,4
60,80756,7,4,3,3,3,2
61,189152,4,1,2,3,2,4
62,54544,4,3,3,4,3,4
63,106347,3,1,1,1,3,3
64,48733,1,7,1,4,4,1
65,78093,2,3,2,1,3,4
66,135424,4,4,3,2,4,4
67,125595,2,5,2,1,2,4
68,67487,5,5,3,3,2,1
69,150931,5,3,3,4,2,1
70,70849,3,6,2,3,1,1
71,175622,6,6,2,2,2,4
72,106400,3,1,3,4,3,2
73,159120,6,6,2,4,3,1
74,120930,6,2,3,3,4,3
75,79699,6,2,2,4,1,4
76,120470,1,5,2,3,2,2
77,174779,6,2,2,1,2,1
78,162996,7,3,1,2,3,2
79,125023,2,2,2,3,3,1
80,59018,4,7,1,2,1,1
